t,x(t),z(t),v_x(t),v_z(t),a_x(t),a_z(t) (added)
1.499999,5.942294,-2.862476,1.608347,2.291808,2.827371,-0.8265195
1.519999,5.975262,-2.81689,1.648279,2.279345,2.858895,-0.9570817
1.539999,6.009037,-2.77159,1.68865,2.26502,2.887969,-1.084854
1.559999,6.043628,-2.726613,1.729424,2.248873,2.914329,-1.209513
1.579999,6.079041,-2.681995,1.770563,2.230951,2.937705,-1.330762
1.599999,6.115283,-2.63777,1.812025,2.211302,2.957813,-1.44833
1.619999,6.152361,-2.593971,1.853762,2.189978,2.974364,-1.561974
1.639999,6.190278,-2.550632,1.895724,2.167038,2.987062,-1.671478
1.659999,6.229037,-2.507782,1.937855,2.142539,2.995603,-1.776659
1.679999,6.268641,-2.465452,1.980095,2.116545,2.999683,-1.877362
1.699999,6.309091,-2.423671,2.022382,2.08912,2.998993,-1.973462
1.719999,6.350386,-2.382466,2.064647,2.060329,2.993229,-2.064865
1.739999,6.392525,-2.341862,2.106818,2.030242,2.982085,-2.151504
1.759999,6.435503,-2.301885,2.148817,1.998925,2.965266,-2.233343
1.779999,6.479317,-2.262558,2.190564,1.966449,2.942483,-2.31037
1.799999,6.523959,-2.223902,2.231973,1.932881,2.913462,-2.382601
1.819999,6.56942,-2.185938,2.272956,1.898291,2.877941,-2.450075
1.839999,6.61569,-2.148685,2.31342,1.862746,2.835683,-2.512854
1.859999,6.662758,-2.11216,2.353268,1.826316,2.786469,-2.57102
1.879999,6.710608,-2.076381,2.392403,1.789065,2.730112,-2.624675
1.899999,6.759224,-2.041361,2.43072,1.751057,2.666451,-2.673937
1.919999,6.808589,-2.007116,2.468117,1.712358,2.595365,-2.718939
1.939999,6.858681,-1.973657,2.504488,1.673026,2.516768,-2.759829
1.959999,6.909477,-1.940997,2.539726,1.633121,2.43062,-2.796764
1.979999,6.960954,-1.909145,2.573723,1.592701,2.336922,-2.829912
1.999999,7.013083,-1.878111,2.60637,1.551818,2.235728,-2.859448
2.019999,7.065836,-1.847902,2.637564,1.510525,2.127141,-2.885554
2.039999,7.119182,-1.818527,2.667197,1.468871,2.011316,-2.908414
2.059999,7.173087,-1.789991,2.695167,1.426902,1.888466,-2.928219
2.079999,7.227516,-1.7623,2.721374,1.384663,1.758856,-2.945158
2.099999,7.282432,-1.735458,2.745722,1.342193,1.622809,-2.959422
2.119999,7.337795,-1.709469,2.76812,1.299532,1.480701,-2.971201
2.139999,7.393566,-1.684337,2.78848,1.256715,1.332961,-2.980683
2.159999,7.449702,-1.660064,2.806725,1.213774,1.18007,-2.988055
2.179999,7.506158,-1.636651,2.822779,1.170741,1.022557,-2.993497
2.199999,7.562891,-1.6141,2.836579,1.127642,0.8609914,-2.997188
2.219999,7.619853,-1.592413,2.848067,1.084503,0.6959864,-2.999299
2.239999,7.676998,-1.571588,2.857195,1.041346,0.5281844,-2.999999
2.259999,7.734277,-1.551626,2.863923,0.9981912,0.3582576,-2.999449
2.279999,7.791642,-1.532527,2.868221,0.9550567,0.1868986,-2.997803
2.299999,7.849043,-1.51429,2.87007,0.911958,0.01481473,-2.995212
2.319999,7.906433,-1.496914,2.86946,0.8689087,-0.1572808,-2.991816
2.339998,7.96376,-1.480398,2.866391,0.8259202,-0.3286752,-2.987751
2.359998,8.020978,-1.46474,2.860876,0.7830021,-0.4986637,-2.983144
2.379998,8.078036,-1.449939,2.852933,0.740162,-0.6665543,-2.978117
2.399998,8.134888,-1.435993,2.842594,0.6974059,-0.8316789,-2.972783
2.419998,8.191485,-1.4229,2.829899,0.6547384,-0.9933981,-2.96725
2.439998,8.247783,-1.410659,2.814898,0.612162,-1.151104,-2.961616
2.459998,8.303735,-1.399268,2.797648,0.5696786,-1.30423,-2.955975
2.479998,8.359299,-1.388724,2.778215,0.5272877,-1.452255,-2.950412
2.499998,8.414432,-1.379027,2.756673,0.4849879,-1.594702,-2.945005
2.519998,8.469092,-1.370173,2.733103,0.4427778,-1.731147,-2.939828
2.539998,8.523243,-1.362162,2.70759,0.4006541,-1.86122,-2.934944
2.559998,8.576846,-1.354992,2.680227,0.3586115,-1.984607,-2.930413
2.579998,8.629867,-1.348661,2.651108,0.316646,-2.101044,-2.926288
2.599998,8.682272,-1.343168,2.620335,0.2747517,-2.21033,-2.922613
2.619998,8.734031,-1.338512,2.588009,0.2329212,-2.31231,-2.919429
2.639998,8.785114,-1.334691,2.554236,0.1911485,-2.40689,-2.916769
2.659998,8.835495,-1.331705,2.519121,0.1494258,-2.494018,-2.91466
2.679998,8.885149,-1.329552,2.482771,0.107745,-2.573698,-2.913124
2.699998,8.934053,-1.328232,2.445294,0.0660985,-2.645975,-2.912176
2.719998,8.982187,-1.327745,2.406795,0.02447672,-2.710936,-2.911824
2.739998,9.029533,-1.328089,2.367379,-0.0171278,-2.768707,-2.912073
2.759998,9.076075,-1.329266,2.327149,-0.058724,-2.81945,-2.912919
2.779998,9.121797,-1.331275,2.286206,-0.1003204,-2.863354,-2.914355
2.799998,9.166688,-1.334115,2.244647,-0.1419255,-2.900638,-2.916365
2.819998,9.210737,-1.337788,2.202568,-0.1835473,-2.931542,-2.918929
2.839998,9.253937,-1.342294,2.160059,-0.225194,-2.956326,-2.92202
2.859998,9.296279,-1.347634,2.117208,-0.2668728,-2.975266,-2.925607
2.879998,9.337759,-1.353808,2.0741,-0.3085911,-2.988649,-2.929651
2.899998,9.378373,-1.360817,2.030811,-0.3503551,-2.99677,-2.934106
2.919998,9.418119,-1.368663,1.98742,-0.3921709,-2.999933,-2.938921
2.939998,9.456997,-1.377346,1.943996,-0.4340436,-2.998443,-2.94404
2.959998,9.495007,-1.386867,1.900606,-0.4759774,-2.992605,-2.949398
2.979998,9.53215,-1.397229,1.857311,-0.5179757,-2.982723,-2.954925
2.999998,9.568432,-1.408432,1.81417,-0.560041,-2.969099,-2.960544
3.019998,9.603854,-1.420478,1.771236,-0.6021746,-2.952026,-2.96617
